Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.1u,
IC2,MFSOP6-5_4.4x3.6mm_P1.27mm,1,"TLP2361_V4,E",
J1,JST_XA_S06B-XASK-1_1x06_P2.50mm_Horizontal,1,XA6_SPI_Sensor,
J2,JST_XA_S03B-XASK-1_1x03_P2.50mm_Horizontal,1,XA3_Fan,
J3,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60_Power,
J4,JST_XA_S02B-XASK-1_1x02_P2.50mm_Horizontal,1,XA2_Thermister,
J5,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,XT60_Peltier,
Q1,TO-220-3_Horizontal_TabDown,1,TK40E06N1,
R1,0603,1,510,
R2,0603,1,220,
R3,0603,1,100,
"R4, R5, R6, R7",0603,4,1k,
U1,DIP-8_W7.62mm,1,TLP250,
U2,MODULE_NUCLEO-G431KBT6,1,NUCLEO-G431KB,
