Designator,Mid X,Mid Y,Rotation,Layer
C1,65.8114,-71.2466,180.0,top
C2,81.026,-99.06,180.0,top
IC2,65.786,-76.225,90.0,top
J1,63.7,-116.48,0.0,top
J2,68.413,-66.4,180.0,top
J3,85.3892,-107.5948,270.0,top
J4,78.105,-66.421,180.0,top
J5,85.3948,-98.272957,270.0,top
Q1,85.09,-83.3628,0.0,top
R1,59.436,-74.676,0.0,top
R2,68.58,-99.06,270.0,top
R3,84.328,-85.344,0.0,top
R4,68.326,-83.82,0.0,top
R5,68.326,-86.36,180.0,top
R6,68.326,-81.28,0.0,top
R7,68.326,-89.154,180.0,top
U1,74.126998,-101.6,0.0,top
U2,63.5,-88.9,0.0,top
